,Date,Name of State / UT,Total Confirmed cases (Indian National),Total Confirmed cases ( Foreign National ),Cured/Discharged/Migrated,Latitude,Longitude,Death,Total Confirmed cases
88,2020-03-10,Maharashtra,5,0,0,19.7515,75.7139,0,5
89,2020-03-10,Punjab,1,0,0,31.1471,75.3412,0,1
90,2020-03-10,Rajasthan,1,0,0,27.0238,74.2179,0,1
91,2020-03-10,Tamil Nadu,1,0,0,11.1271,78.6569,0,1
92,2020-03-10,Telengana,1,0,0,18.1124,79.0193,0,1
93,2020-03-10,Union Territory of Jammu and Kashmir,1,0,0,33.7782,76.5762,0,1
94,2020-03-10,Union Territory of Ladakh,2,0,0,34.2996,78.2932,0,2
95,2020-03-10,Uttar Pradesh,7,0,0,26.8467,80.9462,0,7
96,2020-03-11,Delhi,5,0,0,28.7041,77.1025,0,5
97,2020-03-11,Haryana,0,14,0,29.0588,76.0856,0,14
98,2020-03-11,Karnataka,4,0,0,15.3173,75.7139,0,4
99,2020-03-11,Kerala,17,0,3,10.8505,76.2711,0,17
100,2020-03-11,Maharashtra,10,0,0,19.7515,75.7139,0,10
101,2020-03-11,Punjab,1,0,0,31.1471,75.3412,0,1
102,2020-03-11,Rajasthan,1,2,0,27.0238,74.2179,0,3
103,2020-03-11,Tamil Nadu,1,0,0,11.1271,78.6569,0,1
104,2020-03-11,Telengana,1,0,0,18.1124,79.0193,0,1
105,2020-03-11,Union Territory of Jammu and Kashmir,1,0,0,33.7782,76.5762,0,1
106,2020-03-11,Union Territory of Ladakh,2,0,0,34.2996,78.2932,0,2
107,2020-03-11,Uttar Pradesh,9,0,0,26.8467,80.9462,0,9
108,2020-03-12,Andhra Pradesh,1,0,0,15.9129,79.74,0,1
109,2020-03-12,Delhi,6,0,0,28.7041,77.1025,0,6
110,2020-03-12,Haryana,0,14,0,29.0588,76.0856,0,14
111,2020-03-12,Karnataka,4,0,0,15.3173,75.7139,1,4
112,2020-03-12,Kerala,17,0,3,10.8505,76.2711,0,17
113,2020-03-12,Maharashtra,11,0,0,19.7515,75.7139,0,11
114,2020-03-12,Punjab,1,0,0,31.1471,75.3412,0,1
115,2020-03-12,Rajasthan,1,2,0,27.0238,74.2179,0,3
116,2020-03-12,Tamil Nadu,1,0,0,11.1271,78.6569,0,1
117,2020-03-12,Telengana,1,0,0,18.1124,79.0193,0,1
118,2020-03-12,Union Territory of Jammu and Kashmir,1,0,0,33.7782,76.5762,0,1
119,2020-03-12,Union Territory of Ladakh,3,0,0,34.2996,78.2932,0,3
120,2020-03-12,Uttar Pradesh,10,1,0,26.8467,80.9462,0,11
121,2020-03-13,Andhra Pradesh,1,0,0,15.9129,79.74,0,1
122,2020-03-13,Delhi,6,0,0,28.7041,77.1025,0,6
123,2020-03-13,Haryana,0,14,0,29.0588,76.0856,0,14
124,2020-03-13,Karnataka,5,0,0,15.3173,75.7139,1,5
125,2020-03-13,Kerala,17,0,3,10.8505,76.2711,0,17
126,2020-03-13,Maharashtra,11,0,0,19.7515,75.7139,0,11
127,2020-03-13,Punjab,1,0,0,31.1471,75.3412,0,1
128,2020-03-13,Rajasthan,1,2,0,27.0238,74.2179,0,3
129,2020-03-13,Tamil Nadu,1,0,0,11.1271,78.6569,0,1
130,2020-03-13,Telengana,1,0,0,18.1124,79.0193,0,1
131,2020-03-13,Union Territory of Jammu and Kashmir,1,0,0,33.7782,76.5762,0,1
132,2020-03-13,Union Territory of Ladakh,3,0,0,34.2996,78.2932,0,3
133,2020-03-13,Uttar Pradesh,10,1,0,26.8467,80.9462,0,11
134,2020-03-14,Andhra Pradesh,1,0,0,15.9129,79.74,0,1
135,2020-03-14,Delhi,7,0,1,28.7041,77.1025,1,7
136,2020-03-14,Haryana,0,14,0,29.0588,76.0856,0,14
137,2020-03-14,Karnataka,6,0,0,15.3173,75.7139,1,6
138,2020-03-14,Kerala,19,0,3,10.8505,76.2711,0,19
139,2020-03-14,Maharashtra,14,0,0,19.7515,75.7139,0,14
140,2020-03-14,Punjab,1,0,0,31.1471,75.3412,0,1
141,2020-03-14,Rajasthan,1,2,1,27.0238,74.2179,0,3
142,2020-03-14,Tamil Nadu,1,0,0,11.1271,78.6569,0,1
143,2020-03-14,Telengana,1,0,0,18.1124,79.0193,0,1
144,2020-03-14,Union Territory of Jammu and Kashmir,2,0,0,33.7782,76.5762,0,2
145,2020-03-14,Union Territory of Ladakh,3,0,0,34.2996,78.2932,0,3
146,2020-03-14,Uttar Pradesh,11,1,5,26.8467,80.9462,0,12
147,2020-03-15,Andhra Pradesh,1,0,0,15.9129,79.74,0,1
148,2020-03-15,Delhi,7,0,2,28.7041,77.1025,1,7
149,2020-03-15,Haryana,0,14,0,29.0588,76.0856,0,14
150,2020-03-15,Karnataka,6,0,0,15.3173,75.7139,1,6
151,2020-03-15,Kerala,23,0,3,10.8505,76.2711,0,23
152,2020-03-15,Maharashtra,32,0,0,19.7515,75.7139,0,32
153,2020-03-15,Punjab,1,0,0,31.1471,75.3412,0,1
154,2020-03-15,Rajasthan,2,2,3,27.0238,74.2179,0,4
155,2020-03-15,Tamil Nadu,1,0,0,11.1271,78.6569,0,1
156,2020-03-15,Telengana,3,0,1,18.1124,79.0193,0,3
157,2020-03-15,Union Territory of Jammu and Kashmir,2,0,0,33.7782,76.5762,0,2
158,2020-03-15,Union Territory of Ladakh,3,0,0,34.2996,78.2932,0,3
159,2020-03-15,Uttar Pradesh,12,1,4,26.8467,80.9462,0,13
160,2020-03-15,Uttarakhand,1,0,0,30.0668,79.0193,0,1
161,2020-03-16,Andhra Pradesh,1,0,0,15.9129,79.74,0,1
162,2020-03-16,Delhi,7,0,2,28.7041,77.1025,1,7
163,2020-03-16,Haryana,0,14,0,29.0588,76.0856,0,14
164,2020-03-16,Karnataka,6,0,0,15.3173,75.7139,1,6
165,2020-03-16,Kerala,23,0,3,10.8505,76.2711,0,23
166,2020-03-16,Maharashtra,32,0,0,19.7515,75.7139,0,32
167,2020-03-16,Odisha,1,0,0,20.9517,85.0985,0,1
168,2020-03-16,Punjab,1,0,0,31.1471,75.3412,0,1
169,2020-03-16,Rajasthan,2,2,3,27.0238,74.2179,0,4
170,2020-03-16,Tamil Nadu,1,0,0,11.1271,78.6569,0,1
171,2020-03-16,Telengana,3,0,1,18.1124,79.0193,0,3
172,2020-03-16,Union Territory of Jammu and Kashmir,3,0,0,33.7782,76.5762,0,3
173,2020-03-16,Union Territory of Ladakh,4,0,0,34.2996,78.2932,0,4
174,2020-03-16,Uttar Pradesh,12,1,4,26.8467,80.9462,0,13
175,2020-03-16,Uttarakhand,1,0,0,30.0668,79.0193,0,1
176,2020-03-17,Andhra Pradesh,1,0,0,15.9129,79.74,0,1
177,2020-03-17,Delhi,8,0,2,28.7041,77.1025,1,8
178,2020-03-17,Haryana,1,14,0,29.0588,76.0856,0,15
179,2020-03-17,Karnataka,11,0,0,15.3173,75.7139,1,11
180,2020-03-17,Kerala,24,2,3,10.8505,76.2711,0,26
181,2020-03-17,Maharashtra,36,3,0,19.7515,75.7139,1,39
182,2020-03-17,Odisha,1,0,0,20.9517,85.0985,0,1
183,2020-03-17,Punjab,1,0,0,31.1471,75.3412,0,1
184,2020-03-17,Rajasthan,2,2,3,27.0238,74.2179,0,4
